year,runup,latitude,longitude
2005,1.5,2.63815,95.80393
2004,5.24,6.009734,80.24915
1935,0,0.001,98.25
2004,2.13,2.35802,73.35587
2004,3.6,6.083717,80.14692
2004,4.2,6.127517,80.10413
1935,0,5.5,94
2005,2.5,2.39911,96.4678
2004,6.81,6.11065,80.12357
2000,0,-13.802,97.453
2004,4.4,8.618075,81.21845
2005,2.1,4.61084,95.62215
1816,0,5,96.5
2004,2.7,8.561729,81.24202
2004,3.21,2.35632,73.35522
2004,2.4,8.561729,81.24202
2004,5.9,8.561729,81.24202
2004,2.5,8.563063,81.23478
1861,0,5.5,95.3
2004,3.2,8.579356,81.2138
2004,2.8,8.503758,81.19094
2004,3.35,8.492397,81.19206
2004,2,1.942,73.544
2004,2.5,2.344,96.468
2004,3.3,1.832,73.503
2004,4,2.407,96.483
2004,1.5,4.249,73.537
2004,0,2.408,96.482
2004,2.5,2.404,96.482
2004,6,6.532,79.978
2004,0,2.403,96.481
2004,2.5,2.402,96.481
2004,2.5,2.402,96.481
2004,1.5,2.432,96.26
2004,1.5,2.432,96.26
2004,1.5,2.442,96.243
2004,1.5,2.393,96.337
2004,15,4.211,96.065
2004,15,4.209,96.04
2004,15,4.208,96.04
2004,10,4.208,96.039
2004,15,3.966,96.31
2004,15,4.129,96.129
2004,15,4.209,96.037
2004,0,4.308,95.972
2004,26.1,5.433,95.236
2004,28.2,5.461,95.245
2010,0.03,8.567,81.233
2004,8.8,8.637,98.251
2004,9.6,8.637,98.253
2004,9.5,8.636,98.249
2004,9.45,8.635,98.25
2004,5.04,6.521217,79.97835
2004,8.67,8.637,98.251
2004,12.5,6.16639,81.25503
2004,8.71,8.637,98.251
2004,4.65,6.16639,81.25503
2004,9.91,8.64,98.25
2004,1.5,6.04776,80.09014
2004,8.35,8.64,98.252
2004,2.5,6.04776,80.09014
2004,9.46,8.64,98.253
2004,0,6.11096,80.04268
2004,29.6,5.354,95.243
2004,1.5,6.52588,79.51413
2004,29.7,5.451,95.243
2004,0,6.33359,79.57682
2004,35.7,5.456,95.246
2004,0,7.683333,81.733333
2004,50.9,5.429,95.234
2004,0,7.005881,81.002222
2004,8.2,5.647,95.414
2004,0,6.147222,80.110228
1948,0,5.826,95.347
2004,0,8.683333,81.2
2005,0.13,-12.117,96.883
2004,2,5.565306,95.329583
2004,3.25,5.569889,95.329639
2004,3.55,5.575694,95.345056
2004,5.2,5.563444,95.316972
2004,6,5.568028,95.316806
2004,6,5.5615,95.316833
2004,4,5.546861,95.311694
2004,6,6.246,80.047
2004,4,5.972,80.431
1885,0,5.55,95.3
1922,0,5.467,95.233
2004,20.49,5.429,95.241
2004,2.9,5.249,96.913
2004,1.7,5.235,97.06
2004,4.4,5.387,95.964
2004,4,5.388,95.963
2004,3.5,5.388,95.962
2004,3.1,5.388,95.962
2004,2.8,1.401,97.212
2004,3.8,1.396,97.17
2004,1.5,1.003,97.405
2004,3.5,1.008,97.405
2004,4.5,1.016,97.393
2004,2,0.957,97.424
2004,4.6,0.951,97.419
2004,5.3,1.008,97.405
2004,9.35,8.661,98.249
2004,9.71,8.661,98.25
2004,10.62,8.683,98.244
2004,6.46,8.742,98.255
2004,6.24,8.726,98.232
2004,5.8,5.478389,95.245444
2004,6.1,5.533917,95.281361
1883,0,6.755,81.817
2004,12,10.761639,79.850722
1837,0,5.5,96
1883,1.2,6.054,80.212
2004,3,8.749611,78.196528
1982,0,4.374,97.755
2004,48.86,5.429,95.234
